OBJECTNUMMER;Soort;Prijs_per_gebruik;Dagen_geopend;Openingstijden;Omschrijving;Foto;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
1;"Amsterdamse krul";0;"";"24 uur";"Singel tov Bloemenmarkt";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_8829.jpg";"KRUL";"POINT(4.8900955 52.3672802)";"POINT(52.3672802 4.8900955)";4.8900955;52.3672802
2;"Openbaar toilet, rolstoeltoegankelijk";0.5;"ma - di - wo - do - vr - za - zo";"24 uur per dag";"Koningsplein";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_8832.jpg";"TOEGANG";"POINT(4.8892087 52.3674372)";"POINT(52.3674372 4.8892087)";4.8892087;52.3674372
3;"Verzinkbaar urinoir";0;"";"Donderdag tot en met zondag van 18.00 - 7.00 uur.  Tussen 15.30 - 18.00 uur verplaatsing naar bovengronds. tussen 07.00 - 09.00 uur verplaatsing naar ondergronds.";"Urilift";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/reguliersdwarsstraat.JPG";"URILIFT";"POINT(4.8922195 52.3662449)";"POINT(52.3662449 4.8922195)";4.8922195;52.3662449
7;"Openbaar toilet";0;"";"";"";"";"OPENBAAR";"POINT(4.894839 52.329087)";"POINT(52.329087 4.894839)";4.894839;52.329087
8;"Openbaar toilet";0;"";"";"";"";"OPENBAAR";"POINT(4.893252 52.331956)";"POINT(52.331956 4.893252)";4.893252;52.331956
11;"Amsterdamse krul";0;"";"24 uur";"Oudekerkplein Zuidzijde";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_9103.jpg";"KRUL";"POINT(4.898217 52.3739024)";"POINT(52.3739024 4.898217)";4.898217;52.3739024
12;"Amsterdamse krul";0;"";"24 uur";"Singel tov 43";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_9031.jpg";"KRUL";"POINT(4.892413 52.37708)";"POINT(52.37708 4.892413)";4.892413;52.37708
13;"Amsterdamse krul";0;"ma - di - wo - do - vr - za - zo";"24 uur per dag";"Westermarkt Prinsengracht - twee krullen";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_9022.jpg";"KRUL";"POINT(4.884908 52.374496)";"POINT(52.374496 4.884908)";4.884908;52.374496
14;"Amsterdamse krul";0;"";"24 uur";"Singel / Raadhuisstraat";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_9027.jpg";"KRUL";"POINT(4.889051 52.373057)";"POINT(52.373057 4.889051)";4.889051;52.373057
15;"Amsterdamse krul";0;"";"24 uur";"Singel tov 167";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_9030.jpg";"KRUL";"POINT(4.889522 52.374254)";"POINT(52.374254 4.889522)";4.889522;52.374254
16;"Amsterdamse krul";0;"";"24 uur";"Singel tov 311";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_9025.jpg";"KRUL";"POINT(4.888361 52.370394)";"POINT(52.370394 4.888361)";4.888361;52.370394
17;"Amsterdamse krul";0;"";"24 uur";"Brouwersgracht / Singel nabij Singelsluis";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_9016.JPG";"KRUL";"POINT(4.894051 52.378983)";"POINT(52.378983 4.894051)";4.894051;52.378983
18;"Amsterdamse krul";0;"";"24 uur";"Oudekerkplein noordzijde";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_9100.jpg";"KRUL";"POINT(4.898922 52.3744669)";"POINT(52.3744669 4.898922)";4.898922;52.3744669
19;"Amsterdamse krul";0;"";"24 uur";"Oudezijds Achterburgwal tov 78";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_9105.jpg";"KRUL";"POINT(4.898609 52.373178)";"POINT(52.373178 4.898609)";4.898609;52.373178
20;"Amsterdamse krul";0;"";"24 uur";"Oudezijds Achterburgwal / Brandesteeg";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_9106.jpg";"KRUL";"POINT(4.89816 52.372601)";"POINT(52.372601 4.89816)";4.89816;52.372601
21;"Amsterdamse krul";0;"";"24 uur";"Oudezijds Voorburgwal, Prinsenhof / Hotel The Grand";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_9108.jpg";"KRUL";"POINT(4.89553 52.371457)";"POINT(52.371457 4.89553)";4.89553;52.371457
22;"Amsterdamse krul";0;"";"24 uur";"Nieuwe Spiegelgracht - Keizersgracht";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_8834.JPG";"KRUL";"POINT(4.889736 52.364351)";"POINT(52.364351 4.889736)";4.889736;52.364351
23;"Amsterdamse krul";0;"";"24 uur";"Utrechtse straat";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_8818.jpg";"KRUL";"POINT(4.8985876 52.3639136)";"POINT(52.3639136 4.8985876)";4.8985876;52.3639136
25;"Amsterdamse krul";0;"ma - di - wo - do - vr - za - zo";"24 uur per dag";"Lindengracht";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_8981.jpg";"KRUL";"POINT(4.880664 52.379636)";"POINT(52.379636 4.880664)";4.880664;52.379636
27;"Amsterdamse krul";0;"";"24 uur";"Marnixstraat - Elandsgracht tov bureau van Politie";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_8976.jpg";"KRUL";"POINT(4.877074 52.368764)";"POINT(52.368764 4.877074)";4.877074;52.368764
29;"Amsterdamse krul";0;"";"24 uur";"Lijnbaansgracht 282";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_8836.jpg";"KRUL";"POINT(4.8864027 52.3619726)";"POINT(52.3619726 4.8864027)";4.8864027;52.3619726
30;"Amsterdamse krul";0;"ma - di - wo - do - vr - za - zo";"24 uur per dag";"Amstelveld";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_8819.jpg";"KRUL";"POINT(4.8961937 52.3620631)";"POINT(52.3620631 4.8961937)";4.8961937;52.3620631
31;"Amsterdamse krul";0;"";"24 uur";"Marnixplantsoen, nabij brug";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_9020.jpg";"KRUL";"POINT(4.8801821 52.3812911)";"POINT(52.3812911 4.8801821)";4.8801821;52.3812911
32;"Amsterdamse krul";0;"";"";"Nieuwe Achtergracht";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_8930.jpg";"KRUL";"POINT(0 0)";"POINT(0 0)";0;0
33;"Openbaar toilet, rolstoeltoegankelijk";0;"";"Geopend in de lente en (na) zomer, bij mooi weer";"nabij het pierenbadje";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/vondelpark01.JPG";"TOEGANG";"POINT(4.865594 52.358558)";"POINT(52.358558 4.865594)";4.865594;52.358558
34;"Openbaar toilet";0;"";"Geopend in de lente en (na) zomer, bij mooi weer";"nabij openluchtheater";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/vondelpark02.JPG";"OPENBAAR";"POINT(4.871436 52.358575)";"POINT(52.358575 4.871436)";4.871436;52.358575
35;"Amsterdamse krul";0;"";"24 uur";"Ruysdaelkade / Govert Flinckstraat";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_8969.jpg";"KRUL";"POINT(4.886989 52.35404)";"POINT(52.35404 4.886989)";4.886989;52.35404
36;"Amsterdamse krul";0;"";"24 uur per dag";"Hobbemakade /  Honthorststraat - Brandweerkazerne";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_8936.jpg";"KRUL";"POINT(4.886433 52.357767)";"POINT(52.357767 4.886433)";4.886433;52.357767
37;"Amsterdamse krul";0;"ma - di - wo - do - vr - za - zo";"24 uur per dag";"Naast het Concertgebouw";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_8972.jpg";"KRUL";"POINT(4.8784841 52.3556267)";"POINT(52.3556267 4.8784841)";4.8784841;52.3556267
38;"Amsterdamse krul";0;"";"24 uur";"Herenmarkt / Brouwersgracht";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_9017.JPG";"KRUL";"POINT(4.891667 52.379413)";"POINT(52.379413 4.891667)";4.891667;52.379413
39;"Amsterdamse krul";0;"ma - di - wo - do - vr - za - zo";"24 uur per dag";"Kadijksplein ";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/kadijksplein.JPG";"KRUL";"POINT(4.911695 52.37022)";"POINT(52.37022 4.911695)";4.911695;52.37022
40;"Amsterdamse krul";0;"ma - di - wo - do - vr - za - zo";"24 uur per dag";"Kerklaan, nabij ingang Artis";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/artis.JPG";"KRUL";"POINT(4.913126 52.3676861)";"POINT(52.3676861 4.913126)";4.913126;52.3676861
41;"Amsterdamse krul";0;"ma - di - wo - do - vr - za - zo";"24 uur per dag";"Plantage Middenlaan";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/artis_PlantageMiddenlaan.JPG";"KRUL";"POINT(4.918439 52.36427)";"POINT(52.36427 4.918439)";4.918439;52.36427
