Id;Measure;PrognoseInterval;Perioden;Value;StringValue;ValueAttribute
0;M000352;MW00000;2024JJ00;;;Impossible
1;80000_1;MW00000;2024JJ00;;;Impossible
2;80100_1;MW00000;2024JJ00;;;Impossible
3;80200_1;MW00000;2024JJ00;;;Impossible
4;80000_2;MW00000;2024JJ00;;;Impossible
5;80100_2;MW00000;2024JJ00;;;Impossible
6;80200_2;MW00000;2024JJ00;;;Impossible
7;D000110_2;MW00000;2024JJ00;;;Impossible
8;D000117;MW00000;2024JJ00;;;Impossible
9;D000116;MW00000;2024JJ00;;;Impossible
10;D000128;MW00000;2024JJ00;165167;;None
11;M005167;MW00000;2024JJ00;1,42;;None
12;M000134;MW00000;2024JJ00;174993;;None
13;T001038_1;MW00000;2024JJ00;81,89;;None
14;3000_1;MW00000;2024JJ00;80,53;;None
15;4000_1;MW00000;2024JJ00;83,22;;None
16;T001038_2;MW00000;2024JJ00;19,87;;None
17;3000_2;MW00000;2024JJ00;18,86;;None
18;4000_2;MW00000;2024JJ00;20,84;;None
19;M000167;MW00000;2024JJ00;319188;;None
20;M000168;MW00000;2024JJ00;204192;;None
21;M000244;MW00000;2024JJ00;114996;;None
22;M000352;MW00000;2025JJ00;18048111;;None
23;80000_1;MW00000;2025JJ00;3716892;;None
24;80100_1;MW00000;2025JJ00;10578314;;None
25;80200_1;MW00000;2025JJ00;3752906;;None
26;80000_2;MW00000;2025JJ00;20,6;;None
27;80100_2;MW00000;2025JJ00;58,6;;None
28;80200_2;MW00000;2025JJ00;20,8;;None
29;D000110_2;MW00000;2025JJ00;70,6;;None
30;D000117;MW00000;2025JJ00;35,1;;None
31;D000116;MW00000;2025JJ00;35,5;;None
32;D000128;MW00000;2025JJ00;165353;;None
33;M005167;MW00000;2025JJ00;1,4;;None
34;M000134;MW00000;2025JJ00;174207;;None
35;T001038_1;MW00000;2025JJ00;82,15;;None
36;3000_1;MW00000;2025JJ00;80,77;;None
37;4000_1;MW00000;2025JJ00;83,51;;None
38;T001038_2;MW00000;2025JJ00;20,06;;None
39;3000_2;MW00000;2025JJ00;19,02;;None
40;4000_2;MW00000;2025JJ00;21,05;;None
41;M000167;MW00000;2025JJ00;314234;;None
42;M000168;MW00000;2025JJ00;209487;;None
43;M000244;MW00000;2025JJ00;104747;;None
44;M000352;MW00000;2026JJ00;18144004;;None
45;80000_1;MW00000;2026JJ00;3702620;;None
46;80100_1;MW00000;2026JJ00;10611096;;None
47;80200_1;MW00000;2026JJ00;3830288;;None
48;80000_2;MW00000;2026JJ00;20,4;;None
49;80100_2;MW00000;2026JJ00;58,5;;None
50;80200_2;MW00000;2026JJ00;21,1;;None
51;D000110_2;MW00000;2026JJ00;71;;None
52;D000117;MW00000;2026JJ00;34,9;;None
53;D000116;MW00000;2026JJ00;36,1;;None
54;D000128;MW00000;2026JJ00;167204;;None
55;M005167;MW00000;2026JJ00;1,4;;None
56;M000134;MW00000;2026JJ00;173830;;None
57;T001038_1;MW00000;2026JJ00;82,4;;None
58;3000_1;MW00000;2026JJ00;81;;None
59;4000_1;MW00000;2026JJ00;83,79;;None
60;T001038_2;MW00000;2026JJ00;20,24;;None
61;3000_2;MW00000;2026JJ00;19,19;;None
62;4000_2;MW00000;2026JJ00;21,25;;None
63;M000167;MW00000;2026JJ00;308115;;None
64;M000168;MW00000;2026JJ00;216364;;None
65;M000244;MW00000;2026JJ00;91751;;None
66;M000352;MW00000;2027JJ00;18229130;;None
67;80000_1;MW00000;2027JJ00;3688613;;None
68;80100_1;MW00000;2027JJ00;10627699;;None
69;80200_1;MW00000;2027JJ00;3912818;;None
70;80000_2;MW00000;2027JJ00;20,2;;None
71;80100_2;MW00000;2027JJ00;58,3;;None
72;80200_2;MW00000;2027JJ00;21,5;;None
73;D000110_2;MW00000;2027JJ00;71,5;;None
74;D000117;MW00000;2027JJ00;34,7;;None
75;D000116;MW00000;2027JJ00;36,8;;None
76;D000128;MW00000;2027JJ00;170392;;None
77;M005167;MW00000;2027JJ00;1,42;;None
78;M000134;MW00000;2027JJ00;173817;;None
79;T001038_1;MW00000;2027JJ00;82,65;;None
80;3000_1;MW00000;2027JJ00;81,23;;None
81;4000_1;MW00000;2027JJ00;84,07;;None
82;T001038_2;MW00000;2027JJ00;20,42;;None
83;3000_2;MW00000;2027JJ00;19,36;;None
84;4000_2;MW00000;2027JJ00;21,45;;None
85;M000167;MW00000;2027JJ00;309331;;None
86;M000168;MW00000;2027JJ00;225949;;None
87;M000244;MW00000;2027JJ00;83382;;None
88;M000352;MW00000;2028JJ00;18309087;;None
89;80000_1;MW00000;2028JJ00;3678100;;None
90;80100_1;MW00000;2028JJ00;10634540;;None
91;80200_1;MW00000;2028JJ00;3996447;;None
92;80000_2;MW00000;2028JJ00;20,1;;None
93;80100_2;MW00000;2028JJ00;58,1;;None
94;80200_2;MW00000;2028JJ00;21,8;;None
95;D000110_2;MW00000;2028JJ00;72,2;;None
96;D000117;MW00000;2028JJ00;34,6;;None
97;D000116;MW00000;2028JJ00;37,6;;None
98;D000128;MW00000;2028JJ00;174121;;None
99;M005167;MW00000;2028JJ00;1,44;;None
100;M000134;MW00000;2028JJ00;174116;;None
101;T001038_1;MW00000;2028JJ00;82,9;;None
102;3000_1;MW00000;2028JJ00;81,46;;None
103;4000_1;MW00000;2028JJ00;84,34;;None
104;T001038_2;MW00000;2028JJ00;20,6;;None
105;3000_2;MW00000;2028JJ00;19,53;;None
106;4000_2;MW00000;2028JJ00;21,65;;None
107;M000167;MW00000;2028JJ00;310302;;None
108;M000168;MW00000;2028JJ00;236302;;None
109;M000244;MW00000;2028JJ00;74000;;None
110;M000352;MW00000;2029JJ00;18383091;;None
111;80000_1;MW00000;2029JJ00;3665152;;None
112;80100_1;MW00000;2029JJ00;10635207;;None
113;80200_1;MW00000;2029JJ00;4082733;;None
114;80000_2;MW00000;2029JJ00;19,9;;None
115;80100_2;MW00000;2029JJ00;57,9;;None
116;80200_2;MW00000;2029JJ00;22,2;;None
117;D000110_2;MW00000;2029JJ00;72,9;;None
118;D000117;MW00000;2029JJ00;34,5;;None
119;D000116;MW00000;2029JJ00;38,4;;None
120;D000128;MW00000;2029JJ00;178557;;None
121;M005167;MW00000;2029JJ00;1,47;;None
122;M000134;MW00000;2029JJ00;174697;;None
123;T001038_1;MW00000;2029JJ00;83,15;;None
124;3000_1;MW00000;2029JJ00;81,69;;None
125;4000_1;MW00000;2029JJ00;84,61;;None
126;T001038_2;MW00000;2029JJ00;20,78;;None
127;3000_2;MW00000;2029JJ00;19,69;;None
128;4000_2;MW00000;2029JJ00;21,85;;None
129;M000167;MW00000;2029JJ00;310027;;None
130;M000168;MW00000;2029JJ00;239144;;None
131;M000244;MW00000;2029JJ00;70882;;None
132;M000352;MW00000;2030JJ00;18457834;;None
133;80000_1;MW00000;2030JJ00;3656888;;None
134;80100_1;MW00000;2030JJ00;10629858;;None
135;80200_1;MW00000;2030JJ00;4171088;;None
136;80000_2;MW00000;2030JJ00;19,8;;None
137;80100_2;MW00000;2030JJ00;57,6;;None
138;80200_2;MW00000;2030JJ00;22,6;;None
139;D000110_2;MW00000;2030JJ00;73,6;;None
140;D000117;MW00000;2030JJ00;34,4;;None
141;D000116;MW00000;2030JJ00;39,2;;None
142;D000128;MW00000;2030JJ00;183139;;None
143;M005167;MW00000;2030JJ00;1,5;;None
144;M000134;MW00000;2030JJ00;175516;;None
145;T001038_1;MW00000;2030JJ00;83,39;;None
146;3000_1;MW00000;2030JJ00;81,91;;None
147;4000_1;MW00000;2030JJ00;84,88;;None
148;T001038_2;MW00000;2030JJ00;20,96;;None
149;3000_2;MW00000;2030JJ00;19,85;;None
150;4000_2;MW00000;2030JJ00;22,05;;None
151;M000167;MW00000;2030JJ00;308904;;None
152;M000168;MW00000;2030JJ00;241054;;None
153;M000244;MW00000;2030JJ00;67851;;None
154;M000352;MW00000;2031JJ00;18533307;;None
155;80000_1;MW00000;2031JJ00;3653386;;None
156;80100_1;MW00000;2031JJ00;10626533;;None
157;80200_1;MW00000;2031JJ00;4253388;;None
158;80000_2;MW00000;2031JJ00;19,7;;None
159;80100_2;MW00000;2031JJ00;57,3;;None
160;80200_2;MW00000;2031JJ00;22,9;;None
161;D000110_2;MW00000;2031JJ00;74,4;;None
162;D000117;MW00000;2031JJ00;34,4;;None
163;D000116;MW00000;2031JJ00;40;;None
164;D000128;MW00000;2031JJ00;186968;;None
165;M005167;MW00000;2031JJ00;1,53;;None
166;M000134;MW00000;2031JJ00;178020;;None
167;T001038_1;MW00000;2031JJ00;83,56;;None
168;3000_1;MW00000;2031JJ00;82,07;;None
169;4000_1;MW00000;2031JJ00;85,06;;None
170;T001038_2;MW00000;2031JJ00;21,08;;None
171;3000_2;MW00000;2031JJ00;19,97;;None
172;4000_2;MW00000;2031JJ00;22,18;;None
173;M000167;MW00000;2031JJ00;309762;;None
174;M000168;MW00000;2031JJ00;242400;;None
175;M000244;MW00000;2031JJ00;67362;;None
176;M000352;MW00000;2032JJ00;18609617;;None
177;80000_1;MW00000;2032JJ00;3658258;;None
178;80100_1;MW00000;2032JJ00;10622151;;None
179;80200_1;MW00000;2032JJ00;4329209;;None
180;80000_2;MW00000;2032JJ00;19,7;;None
181;80100_2;MW00000;2032JJ00;57,1;;None
182;80200_2;MW00000;2032JJ00;23,3;;None
183;D000110_2;MW00000;2032JJ00;75,2;;None
184;D000117;MW00000;2032JJ00;34,4;;None
185;D000116;MW00000;2032JJ00;40,8;;None
186;D000128;MW00000;2032JJ00;190143;;None
187;M005167;MW00000;2032JJ00;1,55;;None
188;M000134;MW00000;2032JJ00;180522;;None
189;T001038_1;MW00000;2032JJ00;83,73;;None
190;3000_1;MW00000;2032JJ00;82,23;;None
191;4000_1;MW00000;2032JJ00;85,23;;None
192;T001038_2;MW00000;2032JJ00;21,2;;None
193;3000_2;MW00000;2032JJ00;20,09;;None
194;4000_2;MW00000;2032JJ00;22,3;;None
195;M000167;MW00000;2032JJ00;310202;;None
196;M000168;MW00000;2032JJ00;243231;;None
197;M000244;MW00000;2032JJ00;66971;;None
198;M000352;MW00000;2033JJ00;18686208;;None
199;80000_1;MW00000;2033JJ00;3669418;;None
200;80100_1;MW00000;2033JJ00;10616002;;None
201;80200_1;MW00000;2033JJ00;4400789;;None
202;80000_2;MW00000;2033JJ00;19,6;;None
203;80100_2;MW00000;2033JJ00;56,8;;None
204;80200_2;MW00000;2033JJ00;23,6;;None
205;D000110_2;MW00000;2033JJ00;76;;None
206;D000117;MW00000;2033JJ00;34,6;;None
207;D000116;MW00000;2033JJ00;41,5;;None
208;D000128;MW00000;2033JJ00;192787;;None
209;M005167;MW00000;2033JJ00;1,57;;None
210;M000134;MW00000;2033JJ00;182995;;None
211;T001038_1;MW00000;2033JJ00;83,89;;None
212;3000_1;MW00000;2033JJ00;82,4;;None
213;4000_1;MW00000;2033JJ00;85,4;;None
214;T001038_2;MW00000;2033JJ00;21,33;;None
215;3000_2;MW00000;2033JJ00;20,21;;None
216;4000_2;MW00000;2033JJ00;22,43;;None
217;M000167;MW00000;2033JJ00;309773;;None
218;M000168;MW00000;2033JJ00;243515;;None
219;M000244;MW00000;2033JJ00;66258;;None
220;M000352;MW00000;2034JJ00;18762258;;None
221;80000_1;MW00000;2034JJ00;3687311;;None
222;80100_1;MW00000;2034JJ00;10603280;;None
223;80200_1;MW00000;2034JJ00;4471667;;None
224;80000_2;MW00000;2034JJ00;19,7;;None
225;80100_2;MW00000;2034JJ00;56,5;;None
226;80200_2;MW00000;2034JJ00;23,8;;None
227;D000110_2;MW00000;2034JJ00;76,9;;None
228;D000117;MW00000;2034JJ00;34,8;;None
229;D000116;MW00000;2034JJ00;42,2;;None
230;D000128;MW00000;2034JJ00;194978;;None
231;M005167;MW00000;2034JJ00;1,58;;None
232;M000134;MW00000;2034JJ00;185413;;None
233;T001038_1;MW00000;2034JJ00;84,06;;None
234;3000_1;MW00000;2034JJ00;82,56;;None
235;4000_1;MW00000;2034JJ00;85,57;;None
236;T001038_2;MW00000;2034JJ00;21,45;;None
237;3000_2;MW00000;2034JJ00;20,32;;None
238;4000_2;MW00000;2034JJ00;22,56;;None
239;M000167;MW00000;2034JJ00;309123;;None
240;M000168;MW00000;2034JJ00;244305;;None
241;M000244;MW00000;2034JJ00;64818;;None
242;M000352;MW00000;2035JJ00;18836640;;None
243;80000_1;MW00000;2035JJ00;3703364;;None
244;80100_1;MW00000;2035JJ00;10583474;;None
245;80200_1;MW00000;2035JJ00;4549803;;None
246;80000_2;MW00000;2035JJ00;19,7;;None
247;80100_2;MW00000;2035JJ00;56,2;;None
248;80200_2;MW00000;2035JJ00;24,2;;None
249;D000110_2;MW00000;2035JJ00;78;;None
250;D000117;MW00000;2035JJ00;35;;None
251;D000116;MW00000;2035JJ00;43;;None
252;D000128;MW00000;2035JJ00;196712;;None
253;M005167;MW00000;2035JJ00;1,6;;None
254;M000134;MW00000;2035JJ00;187755;;None
255;T001038_1;MW00000;2035JJ00;84,23;;None
256;3000_1;MW00000;2035JJ00;82,72;;None
257;4000_1;MW00000;2035JJ00;85,74;;None
258;T001038_2;MW00000;2035JJ00;21,57;;None
259;3000_2;MW00000;2035JJ00;20,44;;None
260;4000_2;MW00000;2035JJ00;22,69;;None
261;M000167;MW00000;2035JJ00;309330;;None
262;M000168;MW00000;2035JJ00;245099;;None
263;M000244;MW00000;2035JJ00;64231;;None
264;M000352;MW00000;2036JJ00;18909828;;None
265;80000_1;MW00000;2036JJ00;3725160;;None
266;80100_1;MW00000;2036JJ00;10564806;;None
267;80200_1;MW00000;2036JJ00;4619862;;None
268;80000_2;MW00000;2036JJ00;19,7;;None
269;80100_2;MW00000;2036JJ00;55,9;;None
270;80200_2;MW00000;2036JJ00;24,4;;None
271;D000110_2;MW00000;2036JJ00;79;;None
272;D000117;MW00000;2036JJ00;35,3;;None
273;D000116;MW00000;2036JJ00;43,7;;None
274;D000128;MW00000;2036JJ00;197945;;None
275;M005167;MW00000;2036JJ00;1,61;;None
276;M000134;MW00000;2036JJ00;189994;;None
277;T001038_1;MW00000;2036JJ00;84,39;;None
278;3000_1;MW00000;2036JJ00;82,88;;None
279;4000_1;MW00000;2036JJ00;85,91;;None
280;T001038_2;MW00000;2036JJ00;21,69;;None
281;3000_2;MW00000;2036JJ00;20,56;;None
282;4000_2;MW00000;2036JJ00;22,81;;None
283;M000167;MW00000;2036JJ00;309381;;None
284;M000168;MW00000;2036JJ00;246001;;None
285;M000244;MW00000;2036JJ00;63380;;None
286;M000352;MW00000;2037JJ00;18981159;;None
287;80000_1;MW00000;2037JJ00;3746772;;None
288;80100_1;MW00000;2037JJ00;10556901;;None
289;80200_1;MW00000;2037JJ00;4677487;;None
290;80000_2;MW00000;2037JJ00;19,7;;None
291;80100_2;MW00000;2037JJ00;55,6;;None
292;80200_2;MW00000;2037JJ00;24,6;;None
293;D000110_2;MW00000;2037JJ00;79,8;;None
294;D000117;MW00000;2037JJ00;35,5;;None
295;D000116;MW00000;2037JJ00;44,3;;None
296;D000128;MW00000;2037JJ00;198628;;None
297;M005167;MW00000;2037JJ00;1,62;;None
298;M000134;MW00000;2037JJ00;192113;;None
299;T001038_1;MW00000;2037JJ00;84,55;;None
300;3000_1;MW00000;2037JJ00;83,04;;None
301;4000_1;MW00000;2037JJ00;86,08;;None
302;T001038_2;MW00000;2037JJ00;21,81;;None
303;3000_2;MW00000;2037JJ00;20,68;;None
304;4000_2;MW00000;2037JJ00;22,94;;None
305;M000167;MW00000;2037JJ00;309409;;None
306;M000168;MW00000;2037JJ00;246917;;None
307;M000244;MW00000;2037JJ00;62492;;None
308;M000352;MW00000;2038JJ00;19050165;;None
309;80000_1;MW00000;2038JJ00;3771496;;None
310;80100_1;MW00000;2038JJ00;10556604;;None
311;80200_1;MW00000;2038JJ00;4722065;;None
312;80000_2;MW00000;2038JJ00;19,8;;None
313;80100_2;MW00000;2038JJ00;55,4;;None
314;80200_2;MW00000;2038JJ00;24,8;;None
315;D000110_2;MW00000;2038JJ00;80,5;;None
316;D000117;MW00000;2038JJ00;35,7;;None
317;D000116;MW00000;2038JJ00;44,7;;None
318;D000128;MW00000;2038JJ00;198740;;None
319;M005167;MW00000;2038JJ00;1,63;;None
320;M000134;MW00000;2038JJ00;194090;;None
321;T001038_1;MW00000;2038JJ00;84,72;;None
322;3000_1;MW00000;2038JJ00;83,19;;None
323;4000_1;MW00000;2038JJ00;86,25;;None
324;T001038_2;MW00000;2038JJ00;21,93;;None
325;3000_2;MW00000;2038JJ00;20,79;;None
326;4000_2;MW00000;2038JJ00;23,07;;None
327;M000167;MW00000;2038JJ00;309439;;None
328;M000168;MW00000;2038JJ00;247729;;None
329;M000244;MW00000;2038JJ00;61710;;None
330;M000352;MW00000;2039JJ00;19116525;;None
331;80000_1;MW00000;2039JJ00;3797714;;None
332;80100_1;MW00000;2039JJ00;10570738;;None
333;80200_1;MW00000;2039JJ00;4748073;;None
334;80000_2;MW00000;2039JJ00;19,9;;None
335;80100_2;MW00000;2039JJ00;55,3;;None
336;80200_2;MW00000;2039JJ00;24,8;;None
337;D000110_2;MW00000;2039JJ00;80,8;;None
338;D000117;MW00000;2039JJ00;35,9;;None
339;D000116;MW00000;2039JJ00;44,9;;None
340;D000128;MW00000;2039JJ00;198419;;None
341;M005167;MW00000;2039JJ00;1,63;;None
342;M000134;MW00000;2039JJ00;195908;;None
343;T001038_1;MW00000;2039JJ00;84,87;;None
344;3000_1;MW00000;2039JJ00;83,35;;None
345;4000_1;MW00000;2039JJ00;86,41;;None
346;T001038_2;MW00000;2039JJ00;22,05;;None
347;3000_2;MW00000;2039JJ00;20,91;;None
