"Prognose(-interval)","Perioden","Bevolking op 1 januari (aantal)","Demografische druk Grijze druk (%)","Levend geboren kinderen (aantal)","Totaal vruchtbaarheidscijfer (aantal)","Overledenen (aantal)","Periode-levensverwachting Bij geboorte
Totaal (jaar)","Op de 65ste verjaardag Totaal (jaar)","Buitenlandse migratie Immigratie (aantal)","Emigratie (inclusief correcties) (aantal)","Migratiesaldo (inclusief correcties) (aantal)"
"Prognose","2024","","","165.167","1,42","174.993","81,89","19,87","319.188","204.192","114.996"
"Prognose","2030","18.457.834","39,2","183.139","1,50","175.516","83,39","20,96","308.904","241.054","67.851"
"Prognose","2040","19.180.111","45,0","197.914","1,64","197.551","85,03","22,17","309.565","249.048","60.517"
"Prognose","2050","19.686.707","44,4","190.983","1,64","208.140","86,52","23,30","310.012","252.575","57.437"
"Prognose","2060","20.064.425","45,3","194.569","1,65","207.510","87,86","24,34","310.499","255.180","55.319"
"Prognose","2070","20.629.438","48,6","209.629","1,65","192.210","89,06","25,30","311.513","257.905","53.608"
"Ondergrens 67%-prognose-interval","2024","","","160.912","1,38","167.900","81,51","19,59","300.557","193.007","95.360"
"Ondergrens 67%-prognose-interval","2030","18.266.701","38,6","170.983","1,40","161.603","82,39","20,19","264.269","218.250","27.429"
"Ondergrens 67%-prognose-interval","2040","18.619.652","42,7","175.862","1,48","177.106","83,46","20,93","252.833","218.084","15.417"
"Ondergrens 67%-prognose-interval","2050","18.704.573","41,0","162.092","1,45","188.066","84,54","21,70","250.060","218.379","11.005"
"Ondergrens 67%-prognose-interval","2060","18.703.572","40,8","158.978","1,42","188.521","85,54","22,42","245.432","218.520","5.275"
"Ondergrens 67%-prognose-interval","2070","18.829.235","43,0","165.412","1,40","172.663","86,45","23,10","247.185","217.792","6.926"
"Bovengrens 67%-prognose-interval","2024","","","169.567","1,45","182.386","82,27","20,17","338.811","215.361","136.597"
"Bovengrens 67%-prognose-interval","2030","18.644.553","39,9","195.902","1,60","191.913","84,40","21,76","357.453","267.214","108.958"
"Bovengrens 67%-prognose-interval","2040","19.724.355","47,2","220.537","1,79","218.161","86,60","23,46","368.364","281.705","105.523"
"Bovengrens 67%-prognose-interval","2050","20.629.392","47,9","220.563","1,84","230.304","88,50","24,97","380.793","293.523","106.693"
"Bovengrens 67%-prognose-interval","2060","21.346.419","49,8","229.317","1,87","228.735","90,18","26,35","379.158","298.922","101.406"
"Bovengrens 67%-prognose-interval","2070","22.290.933","53,8","253.756","1,91","212.727","91,67","27,61","382.674","301.122","106.041"
"Bron: CBS."
