OBJECTID;MIVA_toilet;Entree;Gebruik;Status;Ma;Ma_van;Ma_tot;Di;Di_van;Di_tot;Wo;Wo_van;Wo_tot;Do;Do_van;Do_tot;Vr;Vr_van;Vr_tot;Za;Za_van;Za_tot;Zo;Zo_van;Zo_tot;Kosten;Beoordeling;Eigenaar;Opmerking;Beugels;Grote_prullenbak;Wastafel;Baby_verschoontafel;GlobalID;X;Y;LONG;LAT
1;Ja;Drempelvrij;Ruim;In onderhoud;Ja;8:30;16:30;Ja;12:00;20:00;Ja;8:30;16:30;Ja;8:30;16:30;Ja;8:30;16:30;Nee;;;Nee;;;Gratis;Voldoende;Gemeente Den Haag;;Ja;Ja;Ja;Ja;a019b1d9-f2b5-4e8b-9838-29852722042c;79052.28785110735;451317.3492620565;4.280114074209678;52.04496617974066
2;Ja;Drempelvrij;Ruim;In onderhoud;Ja;08:00;16:00;Ja;08:00;17:00;Ja;08:00;17:00;Ja;08:00;17:00;;08:00;17:00;Nee;;;Nee;;;0,50;;;;Ja;Ja;Ja;Ja;aac86f71-dde1-4461-ae5e-f148b70b8e23;202778.4872406188;501954.46122743125;6.09087448966469;52.503192960252555
3;Ja;Drempelvrij;Ruim;In onderhoud;;;;;;;;;;;;;;;;;;;;;;;;;;Ja;;Ja;;be909689-d4bf-4b8e-bf7d-753e4700bf44;202816.73889291653;501941.45043507626;6.091435941984829;52.503072690972616
4;;;;;Ja;9:00;21:00;Ja;9:00;21:00;Ja;9:00;21:00;Ja;9:00;21:00;Ja;9:00;21:00;Ja;11:00;21:00;Ja;11:00;21:00;;;Sophia Revalidatiecentrum;;;;;;c10d27e0-e5c8-4cd6-aba3-c152d2cfeedf;78053.31550246009;450792.95435561764;4.265672747337997;52.04011576826092
5;;;;;Ja;;;Ja;;;Ja;;;Ja;;;Ja;;;Ja;;;Ja;;;;;Haga ziekenhuis;;;;;;fdb6835e-4be9-445a-9868-a42f58c06450;77942.96535402547;452597.44198639254;4.263657738664275;52.05631685639349
6;;;;;;;;;;;;;;;;;;;;;;;;;;€ 0,50;;Gemeente Den Haag;Wordt gebouwd;;;;;c1d993ce-3bd2-4de4-a96b-d804c5df8970;75062.38281235445;454031.8561556475;4.221329119405941;52.068799142781856
7;;;;;Ja;9:00;22:00;Ja;9:00;21:00;Ja;9:00;23:30;Ja;9:00;21:00;Ja;9:00;16:00;Ja;9:00;16:00;Ja;9:30;14:00;;;Haag Atletiek;;;;;;3cbb06f7-4313-430e-a3a9-60d3ea7cd39a;76482.56389793573;454966.32759750314;4.241823212051203;52.077400069956475
8;;;;;;;;;;;;;;;;;;;;;;;;;;;;Haga ziekenhuis;;;;;;39edcffd-09df-4d19-94da-7fed75f8270a;78026.75060702539;455385.17499042745;4.264250506331479;52.081380960683596
9;;;;;Ja;10:00;22:00;Ja;10:00;22:00;Ja;10:00;22:00;Ja;10:00;22:00;Ja;10:00;22:00;Ja;10:00;22:00;Ja;10:00;22:00;;;Pier Scheveningen;;;;;;390e0cec-a6fa-414e-8587-ca254f80bc79;79333.66931793946;459205.17560434056;4.282465389891146;52.11589020872346
10;;;;;Ja;10:00;18:00;Ja;10:00;18:00;Ja;10:00;18:00;Ja;10:00;18:00;Ja;10:00;18:00;Ja;10:00;20:00;Ja;10:00;18:00;;;Palace Promenade;;;;;;f9233870-afad-4673-a776-432d9b53728d;79441.97325103507;459041.14086266194;4.2840827622494;52.11443089544591
11;;Drempelvrij;Gemiddeld;;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;€ 0,50;Goed;Biesieklette;Openbaar toilet Biesieklette;Ja;Ja;Ja;Ja;e23a216d-35fe-4062-9a24-ef591a76c595;79478.0186798691;458994.77182725025;4.2846192041986635;52.11401911685915
12;;;;;Ja;12:00;00:00;Ja;12:00;00:00;Ja;12:00;00:00;Ja;12:00;00:00;Ja;12:00;00:00;Ja;12:00;00:00;Ja;12:00;00:00;;;Santos;;;;;;55858b5b-0935-434e-a5cb-37e08d7c62ca;79360.68470683995;458864.4052387072;4.282935447670807;52.1128315255692
13;;;;;Ja;16:00;23:30;Ja;16:00;23:30;Ja;16:00;23:30;Ja;16:00;23:30;Ja;16:00;23:30;Ja;12:00;23:30;Ja;12:00;23:30;;;Rodizio;;;;;;7d47cdd1-f2af-41e5-80a0-0bed108cd8af;79326.44022962774;458826.8935485076;4.282443932998938;52.112489737480324
14;;;;;Ja;11:30;3:00;Ja;11:30;3:00;Ja;11:30;3:00;Ja;11:30;3:00;Ja;11:30;3:00;Ja;11:30;3:00;Ja;11:30;3:00;;;Holland Casino;;;;;;9f40b18a-9909-4353-84aa-a4171d82e236;79371.07936807298;458789.73887199134;4.283103756443002;52.11216194742423
15;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pathe Scheveningen;;;;;;81c7a751-5796-4db9-9715-3fe3ee0921bf;79427.3609547829;458805.1959413035;4.283921830232755;52.112308547307855
16;;;;;Nee;;;Ja;17:00;22:00;Ja;17:00;22:00;Ja;17:00;22:00;Ja;17:00;22:00;Ja;12:00;22:00;Ja;13:00;22:00;;;Le Cirque;;;;;;7bb61971-a8f7-48d4-bf3d-1f8cbd2ce3d4;79335.14737258806;458701.7542557031;4.282598830755553;52.11136634717696
