"Bestedingscategorieën";"Kenmerken huishoudens";"Perioden";"Gemiddeld besteed bedrag (1 000 euro)"
"000000 Alle bestedingen";"Particuliere huishoudens";"2015";33,8
"000000 Alle bestedingen";"Particuliere huishoudens";"2020";35,2
"000000 Alle bestedingen";"Hoofdkostwinner: 65 jaar of ouder";"2015";30,5
"000000 Alle bestedingen";"Hoofdkostwinner: 65 jaar of ouder";"2020";30,4
"010000 Voedingsmidd. en alc.vrije drank";"Particuliere huishoudens";"2015";3,7
"010000 Voedingsmidd. en alc.vrije drank";"Particuliere huishoudens";"2020";4,5
"010000 Voedingsmidd. en alc.vrije drank";"Hoofdkostwinner: 65 jaar of ouder";"2015";3,4
"010000 Voedingsmidd. en alc.vrije drank";"Hoofdkostwinner: 65 jaar of ouder";"2020";4
"020000 Alcoholhoudende dranken en tabak";"Particuliere huishoudens";"2015";1
"020000 Alcoholhoudende dranken en tabak";"Particuliere huishoudens";"2020";1,2
"020000 Alcoholhoudende dranken en tabak";"Hoofdkostwinner: 65 jaar of ouder";"2015";1
"020000 Alcoholhoudende dranken en tabak";"Hoofdkostwinner: 65 jaar of ouder";"2020";1,1
"030000 Kleding en schoenen";"Particuliere huishoudens";"2015";1,6
"030000 Kleding en schoenen";"Particuliere huishoudens";"2020";1,4
"030000 Kleding en schoenen";"Hoofdkostwinner: 65 jaar of ouder";"2015";1,2
"030000 Kleding en schoenen";"Hoofdkostwinner: 65 jaar of ouder";"2020";0,9
"040000 Huisvesting, water en energie";"Particuliere huishoudens";"2015";10,6
"040000 Huisvesting, water en energie";"Particuliere huishoudens";"2020";11,6
"040000 Huisvesting, water en energie";"Hoofdkostwinner: 65 jaar of ouder";"2015";10,9
"040000 Huisvesting, water en energie";"Hoofdkostwinner: 65 jaar of ouder";"2020";11,7
"050000 Stoffering en huish. apparaten.";"Particuliere huishoudens";"2015";1,8
"050000 Stoffering en huish. apparaten.";"Particuliere huishoudens";"2020";2,3
"050000 Stoffering en huish. apparaten.";"Hoofdkostwinner: 65 jaar of ouder";"2015";1,9
"050000 Stoffering en huish. apparaten.";"Hoofdkostwinner: 65 jaar of ouder";"2020";1,7
"060000 Gezondheid";"Particuliere huishoudens";"2015";0,5
"060000 Gezondheid";"Particuliere huishoudens";"2020";0,6
"060000 Gezondheid";"Hoofdkostwinner: 65 jaar of ouder";"2015";0,6
"060000 Gezondheid";"Hoofdkostwinner: 65 jaar of ouder";"2020";0,6
"070000 Vervoer";"Particuliere huishoudens";"2015";4,4
"070000 Vervoer";"Particuliere huishoudens";"2020";4
"070000 Vervoer";"Hoofdkostwinner: 65 jaar of ouder";"2015";3,1
"070000 Vervoer";"Hoofdkostwinner: 65 jaar of ouder";"2020";2,9
"080000 Communicatie";"Particuliere huishoudens";"2015";1,1
"080000 Communicatie";"Particuliere huishoudens";"2020";1,2
"080000 Communicatie";"Hoofdkostwinner: 65 jaar of ouder";"2015";1
"080000 Communicatie";"Hoofdkostwinner: 65 jaar of ouder";"2020";1,1
"090000 Recreatie en cultuur";"Particuliere huishoudens";"2015";3,3
"090000 Recreatie en cultuur";"Particuliere huishoudens";"2020";3
"090000 Recreatie en cultuur";"Hoofdkostwinner: 65 jaar of ouder";"2015";2,9
"090000 Recreatie en cultuur";"Hoofdkostwinner: 65 jaar of ouder";"2020";2,4
"100000 Onderwijs";"Particuliere huishoudens";"2015";0,5
"100000 Onderwijs";"Particuliere huishoudens";"2020";0,4
"100000 Onderwijs";"Hoofdkostwinner: 65 jaar of ouder";"2015";0,1
"100000 Onderwijs";"Hoofdkostwinner: 65 jaar of ouder";"2020";0,1
"110000 Restaurants en hotels";"Particuliere huishoudens";"2015";2
"110000 Restaurants en hotels";"Particuliere huishoudens";"2020";1,7
"110000 Restaurants en hotels";"Hoofdkostwinner: 65 jaar of ouder";"2015";1,5
"110000 Restaurants en hotels";"Hoofdkostwinner: 65 jaar of ouder";"2020";1
"120000 Diverse goederen en diensten";"Particuliere huishoudens";"2015";2,6
"120000 Diverse goederen en diensten";"Particuliere huishoudens";"2020";2,7
"120000 Diverse goederen en diensten";"Hoofdkostwinner: 65 jaar of ouder";"2015";2,2
"120000 Diverse goederen en diensten";"Hoofdkostwinner: 65 jaar of ouder";"2020";2,3
"130000 Consumptiegebonden belastingen";"Particuliere huishoudens";"2015";0,6
"130000 Consumptiegebonden belastingen";"Particuliere huishoudens";"2020";0,6
"130000 Consumptiegebonden belastingen";"Hoofdkostwinner: 65 jaar of ouder";"2015";0,5
"130000 Consumptiegebonden belastingen";"Hoofdkostwinner: 65 jaar of ouder";"2020";0,5
"150000 Goede doelen";"Particuliere huishoudens";"2015";0,1
"150000 Goede doelen";"Particuliere huishoudens";"2020";0,1
"150000 Goede doelen";"Hoofdkostwinner: 65 jaar of ouder";"2015";0,2
"150000 Goede doelen";"Hoofdkostwinner: 65 jaar of ouder";"2020";0,2
